,id,full_name,first_name,last_name,is_active
201,1630573,Sam Hauser,Sam,Hauser,True
202,1629637,Jaxson Hayes,Jaxson,Hayes,True
203,1630165,Killian Hayes,Killian,Hayes,True
204,202330,Gordon Hayward,Gordon,Hayward,True
205,1627823,Juancho Hernangomez,Juancho,Hernangomez,True
206,1626195,Willy Hernangomez,Willy,Hernangomez,True
207,1629639,Tyler Herro,Tyler,Herro,True
208,1627741,Buddy Hield,Buddy,Hield,True
209,1629312,Haywood Highsmith,Haywood,Highsmith,True
210,201588,George Hill,George,Hill,True
211,1630792,Malcolm Hill,Malcolm,Hill,True
212,1628988,Aaron Holiday,Aaron,Holiday,True
213,201950,Jrue Holiday,Jrue,Holiday,True
214,203200,Justin Holiday,Justin,Holiday,True
215,1626158,Richaun Holmes,Richaun,Holmes,True
216,1631096,Chet Holmgren,Chet,Holmgren,True
217,201143,Al Horford,Al,Horford,True
218,1629659,Talen Horton-Tucker,Talen,Horton-Tucker,True
219,1627863,Danuel House Jr.,Danuel,House Jr.,True
220,1631216,Caleb Houstan,Caleb,Houstan,True
221,1631309,Trevor Hudgins,Trevor,Hudgins,True
222,1628989,Kevin Huerter,Kevin,Huerter,True
223,1630643,Jay Huff,Jay,Huff,True
224,1629631,De'Andre Hunter,De'Andre,Hunter,True
225,1630538,Bones Hyland,Bones,Hyland,True
226,201586,Serge Ibaka,Serge,Ibaka,True
227,2738,Andre Iguodala,Andre,Iguodala,True
228,204060,Joe Ingles,Joe,Ingles,True
229,1627742,Brandon Ingram,Brandon,Ingram,True
230,202681,Kyrie Irving,Kyrie,Irving,True
231,1628371,Jonathan Isaac,Jonathan,Isaac,True
232,1631093,Jaden Ivey,Jaden,Ivey,True
233,1628402,Frank Jackson,Frank,Jackson,True
234,1630543,Isaiah Jackson,Isaiah,Jackson,True
235,1628382,Justin Jackson,Justin,Jackson,True
236,1631245,Quenton Jackson,Quenton,Jackson,True
237,202704,Reggie Jackson,Reggie,Jackson,True
238,1628991,Jaren Jackson Jr.,Jaren,Jackson Jr.,True
239,2544,LeBron James,LeBron,James,True
240,1629610,DaQuan Jeffries,DaQuan,Jeffries,True
241,1629660,Ty Jerome,Ty,Jerome,True
242,1630198,Isaiah Joe,Isaiah,Joe,True
243,1628993,Alize Johnson,Alize,Johnson,True
244,1629661,Cameron Johnson,Cameron,Johnson,True
245,1630552,Jalen Johnson,Jalen,Johnson,True
246,201949,James Johnson,James,Johnson,True
247,1629640,Keldon Johnson,Keldon,Johnson,True
248,1630553,Keon Johnson,Keon,Johnson,True
249,1626169,Stanley Johnson,Stanley,Johnson,True
250,203999,Nikola Jokic,Nikola,Jokic,True
251,1630637,Carlik Jones,Carlik,Jones,True
252,1627745,Damian Jones,Damian,Jones,True
253,1630529,Herbert Jones,Herbert,Jones,True
254,1630539,Kai Jones,Kai,Jones,True
255,1630200,Tre Jones,Tre,Jones,True
256,1626145,Tyus Jones,Tyus,Jones,True
257,1627884,Derrick Jones Jr.,Derrick,Jones Jr.,True
258,201599,DeAndre Jordan,DeAndre,Jordan,True
259,202709,Cory Joseph,Cory,Joseph,True
260,1631107,Nikola Jovic,Nikola,Jovic,True
